full_name,age,positions,primary_position,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Juan Rodríguez Martínez,23,"CB,RB",CB,57,59,40,59,16,64,82,"[0.07373927533626556, -0.4475571811199188, 0.6587470769882202, 0.03965400904417038, 0.5053543448448181, 0.3262084126472473, -0.11710377782583237, -0.2534918785095215, 0.0781058743596077, 0.4566304385662079, -0.4734121263027191, -0.47013312578201294, -0.002911863150075078, -0.7009925842285156, -0.3248482048511505, 0.04993763938546181, 0.06501948833465576, -0.4508031904697418, -0.71772301197052, 0.2589402198791504, 0.7506701350212097, 0.6701115965843201, -0.4169982075691223, -0.2863404154777527, 0.10165618360042572, 0.11250089108943939, 0.1459605097770691, -0.45216524600982666, 0.11259337514638901, -0.025993267074227333, 0.1061205118894577, 0.2868218719959259, 0.2069242149591446, -0.4209965765476227, 0.061178069561719894, 0.25500956177711487, 0.046623390167951584, 0.3173743486404419, 0.13466575741767883, 0.32287687063217163, 0.8005513548851013, 0.18936976790428162, 0.2775765657424927, 0.2255452424287796, 1.0708332061767578, -0.28347814083099365, 0.059255409985780716, -0.24374474585056305, -0.4975651502609253, 0.1171368807554245, 0.509316086769104, 0.14088305830955505, 0.104996457695961, -0.21844294667243958, -0.3058641850948334, -0.6972484588623047, 0.5042257308959961, -0.9144086837768555, -0.8801777958869934, 0.5065160989761353, -1.0395992994308472, 0.35246792435646057, 0.11433295160531998, -0.7648977637290955]"
David Edward Martin,33,GK,GK,42,36,16,33,15,38,70,"[0.8770372867584229, 0.12717905640602112, 0.16427446901798248, 0.07448151707649231, 1.056753158569336, -0.29274511337280273, 0.5498644113540649, -0.09538247436285019, -0.513184666633606, -0.17633618414402008, -0.27034884691238403, 0.43106937408447266, -0.19576717913150787, -0.25732365250587463, 0.0864572674036026, -0.3663734793663025, -0.771683394908905, -0.05295960605144501, -0.7097533941268921, -0.41379639506340027, 0.3619389235973358, 0.6593428254127502, -0.6108422875404358, -0.1917870193719864, -0.011534837074577808, -0.34412309527397156, -0.4235958456993103, -0.30863240361213684, -0.5188923478126526, 0.4001729488372803, -1.574875831604004, 0.3021278381347656, 0.22648289799690247, -0.031153513118624687, 0.6140289306640625, 0.15616106986999512, 0.2463175505399704, 0.1640474945306778, -0.8294593691825867, -0.026283016428351402, 0.15765753388404846, 0.27089568972587585, 0.14576385915279388, 0.9624643921852112, 0.724267840385437, -0.155809685587883, -0.693091630935669, 0.2674274146556854, -0.6327635049819946, 0.03122890368103981, 0.12630409002304077, 0.12671257555484772, -0.3892385959625244, -0.0816677138209343, 0.8225060701370239, -0.318613737821579, 0.2838045656681061, -0.23209048807621002, -0.24279595911502838, 0.7903909087181091, -0.4965195953845978, -0.1355327069759369, -0.48403024673461914, -0.532414972782135]"
Mateus Anderson Veloso Sousa,25,RM,RM,78,79,69,67,42,63,37,"[0.15415625274181366, -0.09098614752292633, -0.38981491327285767, 0.2589685916900635, 0.4649486839771271, -0.2848956286907196, 0.07406090199947357, -0.8728229403495789, 0.6673920750617981, -0.5721731781959534, 0.2656804323196411, -0.1665741503238678, -0.203159898519516, -0.0600784569978714, 0.5919039249420166, 0.7614572048187256, -0.7204678654670715, -0.5197988152503967, -0.34747999906539917, -0.02169652096927166, 0.3503454625606537, -0.46017545461654663, -0.6254450678825378, 0.01298355869948864, 0.019280795007944107, 0.7476305961608887, -0.5971943140029907, 0.6974326968193054, -0.31753987073898315, -0.49807819724082947, -0.3078043460845947, -0.052176497876644135, -0.2293437421321869, -0.11834061145782471, 0.2817991375923157, -0.11753839254379272, 0.8241993188858032, -0.24965158104896545, 0.24968402087688446, -0.6471849679946899, 0.025555094704031944, 0.204213485121727, -0.5045300126075745, 0.8927558064460754, -0.11103460937738419, -0.15015846490859985, -0.125285342335701, -0.8586281538009644, -0.4096933901309967, -0.06740398705005646, 0.18211175501346588, 0.09989776462316513, 0.19268077611923218, 0.27762025594711304, -0.018131617456674576, -0.18952812254428864, 0.08218321204185486, -1.4015065431594849, -0.151664137840271, 0.3179231286048889, -0.54897540807724, -0.06277510523796082, -0.26916956901550293, -0.613463282585144]"
Tiago Augusto Oliveira Castro,23,"RW,CM",RW,66,65,69,72,54,52,46,"[0.33789166808128357, -0.09525514394044876, 0.22883538901805878, 0.4586123824119568, 0.39444562792778015, -0.3497115969657898, 0.5857783555984497, -0.2516213655471802, 0.10096368938684464, -0.44309094548225403, 0.44429296255111694, -0.1516956239938736, 0.7554121017456055, 0.5116391181945801, 0.04048742726445198, 0.5179203152656555, 0.28517937660217285, -0.44712504744529724, -0.36803239583969116, 0.18012768030166626, 0.540244996547699, 0.2613849937915802, -0.8964571952819824, 0.3425036668777466, -0.25959891080856323, 0.22572246193885803, -0.7426832318305969, 0.7094785571098328, -0.05972214415669441, 0.5174483060836792, -0.3943336308002472, 0.4103674292564392, -0.5127028822898865, 0.2503797113895416, -0.032055389136075974, -0.12444213032722473, 0.8648803234100342, -0.40032461285591125, -0.09975748509168625, -0.04998113587498665, 0.2721015512943268, 0.017760900780558586, -0.2534120976924896, 0.7336840033531189, 0.28249236941337585, -0.032903753221035004, -0.7606366276741028, -0.27422401309013367, -0.13622385263442993, 0.09188944846391678, 0.13954417407512665, 0.6801770329475403, 0.3148857057094574, 0.4181969165802002, 0.06969426572322845, -0.32368576526641846, -0.2500339448451996, -0.9304139614105225, -1.258070468902588, -0.6113529205322266, -0.24452121555805206, 0.4860513508319855, -0.013948372565209866, -0.7520833611488342]"
Alessandro Plizzari,18,GK,GK,45,37,21,36,5,25,54,"[0.8153468370437622, 0.06780871748924255, 0.2630346715450287, -0.07266368716955185, 0.741631269454956, 0.8133516907691956, 0.3067602217197418, -0.5858174562454224, -0.3533296585083008, -0.3434014320373535, 0.1931975930929184, 0.4539322257041931, -0.05280735716223717, 0.05746223032474518, -0.2526760995388031, -0.13788346946239471, -0.1346515268087387, -0.07135828584432602, -0.48845475912094116, -0.28310978412628174, 0.6818769574165344, -0.23810824751853943, -0.44662928581237793, -0.3487741947174072, -0.7169922590255737, 0.05388510599732399, -0.30595991015434265, -0.008407194167375565, -0.3786564767360687, -0.5632076263427734, -0.8281289935112, 0.30172595381736755, -0.2942025661468506, 0.35978981852531433, -1.0857996940612793, 0.14674405753612518, 0.27650192379951477, -0.11262839287519455, -0.43989378213882446, 0.6078481674194336, 1.1302157640457153, 0.33085641264915466, 0.653269350528717, 0.13586463034152985, 0.6402354836463928, -0.04356154054403305, -0.6004254221916199, -0.250201553106308, 0.05809333547949791, -0.009696007706224918, -0.08891163766384125, 0.11146262288093567, -0.1511601060628891, 0.1028633713722229, -0.1600567251443863, -0.7426229119300842, 0.2788582146167755, -0.3854529559612274, -0.8432249426841736, -0.45135965943336487, -0.6922354698181152, -0.32375067472457886, -0.7119371294975281, -1.3378474712371826]"
Dylan Gissi,27,"CB,RB",CB,44,40,51,62,42,68,76,"[0.3732546865940094, 0.22651360929012299, 0.546467661857605, -0.027805490419268608, 0.2808270752429962, 0.040474310517311096, -0.09950989484786987, 0.15386681258678436, 0.18860018253326416, 0.19680480659008026, -0.6043106317520142, -0.17591330409049988, 0.6647337079048157, -0.6343004107475281, 0.5621851086616516, 0.36314505338668823, -0.8994189500808716, -0.4583783745765686, -1.258460283279419, 0.019438602030277252, -0.053878601640462875, 0.6433767080307007, -0.9161037802696228, -0.46926289796829224, -0.054267287254333496, 0.24526803195476532, -0.1450030505657196, -0.23815277218818665, 0.1928611546754837, 0.3545015752315521, -0.02747524529695511, -0.08236153423786163, -0.16378314793109894, 0.4678153395652771, -0.23615102469921112, 0.12564265727996826, 0.0818689614534378, -0.1892896294593811, -0.4175794720649719, 0.29105833172798157, -0.004063975997269154, -0.05750684440135956, 0.22911284863948822, 0.5235353708267212, 0.8347364068031311, 0.5255138874053955, 0.21174930036067963, -0.555252194404602, -0.038904838263988495, 0.23179054260253906, 0.21332009136676788, 0.7928216457366943, -0.028345054015517235, -0.6082903742790222, -0.5782354474067688, 0.06329338252544403, 0.06332399696111679, -0.09661940485239029, -0.5913428664207458, 0.3397378921508789, -0.9764595031738281, -0.1277451366186142, 0.4562039077281952, -0.13347651064395905]"
Jayden Bogle,18,RB,RB,83,77,73,67,39,67,53,"[0.2848590016365051, -0.03837420418858528, -0.0496835820376873, 0.12736378610134125, 0.6766989827156067, -0.11987040936946869, 0.20448584854602814, -0.5359914302825928, -0.7184603214263916, -0.8605535626411438, 1.2543213367462158, 0.04216238483786583, 0.22949497401714325, -0.5806560516357422, 0.15048588812351227, 0.5097277164459229, -0.5597376823425293, 0.09185411036014557, -0.041768696159124374, 0.3144535720348358, -0.07966752350330353, -0.00835051666945219, -0.5024712681770325, 0.1875651776790619, -0.48484349250793457, 0.7991014122962952, -0.44158393144607544, 0.4898298680782318, -0.24069711565971375, -0.37434136867523193, -0.025379013270139694, 0.18900562822818756, -0.2903289496898651, -0.0230996236205101, 0.0012886497424915433, -0.4799126088619232, 0.5200374126434326, -0.29639512300491333, 0.41868889331817627, -0.4008513391017914, 0.6065560579299927, 0.10325593501329422, -0.39603927731513977, 0.9212672710418701, 0.33574235439300537, -0.18807019293308258, -0.44977307319641113, -0.22824880480766296, -0.28620481491088867, 0.28709283471107483, -0.13105587661266327, -0.30047428607940674, 0.2569907605648041, 0.1591988056898117, -0.1661541610956192, -0.10073748230934143, -0.5375344753265381, -0.6077567338943481, -0.6141922473907471, 0.19552969932556152, -0.8684051632881165, -0.01091455016285181, 0.27658259868621826, -0.093239925801754]"
Francisco Ortega,19,LB,LB,79,81,69,65,50,76,62,"[-0.24533212184906006, -0.4330580532550812, 0.2917633354663849, -0.5190627574920654, 0.3872154653072357, -0.3773503005504608, 0.4684823155403137, -0.14929400384426117, -0.3724919259548187, -0.7232850193977356, 1.0730763673782349, 0.01978691853582859, 0.2903479337692261, -0.38958829641342163, -0.06694740056991577, 0.5292085409164429, -1.128211259841919, 0.5484134554862976, 0.40764766931533813, -0.025671912357211113, 0.24379797279834747, 0.6216030120849609, -0.37139058113098145, 0.12028582394123077, -0.5433935523033142, 0.6436984539031982, -0.027916043996810913, 0.337524950504303, -0.2739039659500122, -0.20583607256412506, -0.007423929870128632, 0.2586970627307892, -0.09931404888629913, -0.010599694214761257, 0.12008630484342575, -0.6286945939064026, -0.37449711561203003, 0.04425938427448273, 0.4385870397090912, 0.055058106780052185, 0.620782732963562, -0.10853235423564911, -0.2849893271923065, 0.3395008444786072, -0.0771060511469841, -0.28243163228034973, -0.33777499198913574, -0.008988265879452229, -0.15675586462020874, 0.3946554362773895, 0.10811731964349747, -0.2516491711139679, 0.0031174728646874428, 0.37366369366645813, 0.007722226902842522, -0.5343794822692871, -0.4795691668987274, -0.2937729060649872, -0.37697651982307434, 0.3162894546985626, -0.8436073660850525, 0.07832803577184677, 0.006408789660781622, -0.4647253155708313]"
Léon Bergsma,22,CB,CB,64,67,48,65,23,66,70,"[0.5199496746063232, -0.2501131594181061, 0.43063196539878845, -0.16514606773853302, 0.6086421012878418, 0.22190146148204803, -0.18243807554244995, -0.09391128271818161, -0.08770955353975296, -0.10252781212329865, 0.21992725133895874, -0.01785857044160366, 0.1726212203502655, -0.6369971036911011, -0.048628080636262894, 0.017261842265725136, 0.18611809611320496, -0.18841272592544556, -0.5503816604614258, 0.7174747586250305, 0.8293328881263733, -0.028032485395669937, -0.3472125232219696, -0.028541630133986473, -0.5373333096504211, 0.17609107494354248, -0.03445979952812195, -0.0028135457541793585, 0.28508642315864563, -0.6664983630180359, 0.4516352713108063, 0.1168002262711525, 0.3357270658016205, -0.030322283506393433, -0.7434853315353394, 0.18666525185108185, -0.048659827560186386, 0.6971394419670105, -0.19687914848327637, 0.6733421087265015, 0.7553699016571045, 0.4842261075973511, -0.6696915030479431, 0.24688555300235748, 0.933559775352478, -0.020626738667488098, -0.16783788800239563, -0.1282087117433548, -0.42122212052345276, 0.18007417023181915, -0.08230715245008469, 0.024774521589279175, 0.5928760170936584, -0.012219524011015892, -0.05469395965337753, -0.5994327068328857, 0.40111204981803894, -0.5141732692718506, -0.6985101699829102, 0.36720341444015503, -1.0249965190887451, 0.13390704989433289, -0.24334116280078888, -0.8389512300491333]"
Emílio Dener Trevões Teixeira,31,"ST,LW",ST,88,91,77,61,65,51,57,"[0.15022000670433044, -0.37883448600769043, -0.23262234032154083, -0.20170478522777557, -0.06523337960243225, -0.8079464435577393, -0.07988318055868149, -1.14202880859375, 0.15848755836486816, -0.9114410281181335, 0.8280470967292786, -0.6894515752792358, -0.3560079336166382, 0.46666768193244934, -0.3938892185688019, 0.17426706850528717, -0.2062513828277588, -0.9099985361099243, -0.32171162962913513, -0.5053858160972595, 0.7833297848701477, 0.09153007715940475, -0.8174501061439514, -0.23228326439857483, 0.01653236337006092, 0.5489533543586731, -0.5128689408302307, 0.2840341031551361, -0.43349653482437134, -0.4058588743209839, -0.5121314525604248, 0.05683154612779617, 0.0009790196781978011, 0.6701040863990784, -0.04052066057920456, 0.3913525938987732, 0.34375104308128357, 0.15178047120571136, -0.31526434421539307, -0.174979567527771, -0.12916721403598785, 0.7609083652496338, -0.0026595224626362324, 0.3383919894695282, -0.010398990474641323, 0.23556125164031982, 0.030392680317163467, -0.09957998991012573, 0.29774630069732666, -0.08891052007675171, 0.696020781993866, 0.352995902299881, -0.09468590468168259, -0.12155431509017944, -0.16362108290195465, -0.19326968491077423, 0.340332955121994, 0.10467429459095001, -0.12545722723007202, 0.4736340343952179, -0.30243244767189026, 0.5759966373443604, -0.36300402879714966, 0.29114288091659546]"
Marco Migliorini,27,CB,CB,51,32,31,37,26,55,87,"[0.37638527154922485, 0.6568818092346191, 0.39096033573150635, 0.11476559937000275, 0.09972664713859558, 0.4681033194065094, 0.031180866062641144, -0.3412593901157379, -0.7622776627540588, 0.39830437302589417, -0.18083280324935913, 0.25620800256729126, 0.02430582046508789, -0.34446653723716736, 0.0007936308393254876, 0.7130733132362366, -0.3359149396419525, -0.4086620807647705, -1.1446990966796875, 0.0370216965675354, 0.05450403690338135, 0.7779330611228943, -1.1682223081588745, -0.3772582411766052, 0.055575910955667496, -0.374777227640152, 0.26460108160972595, -0.48857247829437256, -0.333264023065567, 0.2611303925514221, -0.4513579308986664, 0.4702439606189728, -0.023881644010543823, -0.18939624726772308, 0.23514237999916077, 0.06440060585737228, -0.2849421203136444, -0.07336434721946716, -0.7592729926109314, -0.027715172618627548, 0.4415733814239502, 0.2714196741580963, 0.4364951550960541, 0.21293267607688904, 1.1556580066680908, -0.2718771696090698, -0.06346310675144196, 0.10617853701114655, -0.16858123242855072, -0.06226790323853493, 0.11675531417131424, 0.34178099036216736, 0.21129460632801056, -0.6123502254486084, -0.37898844480514526, -0.19260700047016144, 0.5673216581344604, -0.700242817401886, -0.4273968040943146, 0.3534839153289795, -0.7611519694328308, 0.22720125317573547, -0.5654245615005493, -0.4864709675312042]"
Happy Jele,32,"CB,RB",CB,68,65,73,62,49,73,53,"[-0.09904634952545166, 0.25039154291152954, -0.2857474088668823, -0.14603306353092194, -0.3056590259075165, -0.5606679916381836, -0.22565320134162903, -0.18351484835147858, 0.5172847509384155, 0.09262559562921524, 0.26151254773139954, -0.6261879205703735, 0.304477334022522, 0.7272147536277771, 0.44135695695877075, 0.25673946738243103, -0.9163462519645691, -0.5672751665115356, -0.052001528441905975, -0.1132960096001625, 0.6160892248153687, -0.06714145094156265, -0.6163215637207031, -0.3338075578212738, 0.24668198823928833, -0.14535978436470032, -1.126790165901184, 1.0428411960601807, -0.38813671469688416, -0.4151948392391205, -0.7090352177619934, -0.10292410105466843, 0.2153633087873459, -0.12010964006185532, 0.05184498056769371, 0.6474124193191528, 0.516335129737854, 0.28270086646080017, -0.6756647229194641, 0.0777764618396759, -0.53294837474823, -0.0749712660908699, -0.2735445201396942, 0.5299363732337952, 0.5745702981948853, 0.8882303237915039, -0.06530573219060898, -0.5121090412139893, 0.35895785689353943, 0.15713882446289062, 0.7296425700187683, -0.09695178270339966, -0.027157893404364586, 0.10442066937685013, -0.610594630241394, -0.26372671127319336, 0.6688743829727173, -0.5631923079490662, -0.6178833246231079, 0.30498358607292175, 0.0034823487512767315, -0.0509292297065258, -0.2841389775276184, -0.4409751892089844]"
Harun Alpsoy,22,"CDM,CM",CDM,70,71,52,72,31,68,72,"[0.24243368208408356, 0.044360555708408356, 0.5989707112312317, -0.14248834550380707, 0.5569643378257751, 0.030216895043849945, -0.3193567097187042, 0.10850951075553894, -0.08796380460262299, -0.1040176972746849, 0.630328357219696, -0.07764963060617447, 0.35714754462242126, -0.9841296672821045, 0.1950932890176773, -0.2619795799255371, 0.007495096884667873, 0.017943451181054115, -0.31942179799079895, 0.56097412109375, 0.6017104387283325, 0.2008672058582306, -0.520957887172699, 0.15648972988128662, -0.5492331385612488, 0.541708767414093, 0.16332975029945374, 0.1291998326778412, 0.638102650642395, -0.48666879534721375, 0.3486807346343994, 0.07242686301469803, 0.6644747853279114, -0.002180214272812009, 0.027157053351402283, -0.14163130521774292, -0.32199499011039734, 0.5104907155036926, -0.07560798525810242, 0.2465495765209198, 0.13666704297065735, 0.15481925010681152, -0.7462608218193054, -0.03263694420456886, 0.6141725182533264, -0.21167811751365662, -0.21613958477973938, -0.5026158690452576, -0.39721253514289856, 0.5506075024604797, 0.0819847509264946, -0.4074334502220154, 0.21147370338439941, 0.14174653589725494, 0.14147284626960754, -0.4169729948043823, 0.10436829924583435, -0.7164779305458069, -0.6212261319160461, 0.21713511645793915, -1.2750065326690674, 0.3558498024940491, -0.43703213334083557, -0.6734447479248047]"
Markus Halsti,34,"CB,CM",CB,31,47,47,66,40,52,75,"[0.5804323554039001, -0.15831655263900757, 0.03159020096063614, -0.30484485626220703, 0.3992387354373932, -0.06338585913181305, 0.5212575197219849, -0.23927314579486847, 0.4862965941429138, 0.4690055549144745, -0.2918344736099243, -0.15189488232135773, 0.558891773223877, -0.5396521091461182, 0.14671440422534943, -0.10411705076694489, -1.391291618347168, -0.07386037707328796, -0.2569727897644043, 0.0230680201202631, -0.03061011992394924, 0.5103441476821899, -0.9094254970550537, -0.3929041624069214, 0.14667217433452606, -0.21994705498218536, 0.1644129604101181, -0.41113927960395813, -0.13273686170578003, 0.462067574262619, -0.26661694049835205, -0.28128811717033386, 0.15266813337802887, 0.6300010681152344, -0.16288943588733673, 0.16960234940052032, 0.4312063455581665, -0.510706901550293, -0.6461959481239319, 0.3961317837238312, -0.387900173664093, 0.5899654626846313, 0.5408070683479309, 0.9763281345367432, 0.9410668015480042, 0.5067620277404785, -0.39454761147499084, -0.5937250852584839, 0.06776656210422516, 0.12873461842536926, 0.20063145458698273, 0.3127911388874054, 0.37649375200271606, -0.29121726751327515, 0.17438547313213348, -0.001498265191912651, 0.7332882285118103, -0.5778135657310486, -0.4723096489906311, 0.40394169092178345, -0.6261584758758545, 0.04361957684159279, 0.11412603408098221, -0.1887316256761551]"
Soufiane Bidaoui,28,"LW,LM",LW,82,73,75,61,50,73,40,"[-0.14368420839309692, -0.31953930854797363, -0.09542930871248245, 0.2722081243991852, 0.3635909855365753, -0.3834708333015442, -0.02892133593559265, -0.9337150454521179, 0.48487797379493713, -0.2809407114982605, 0.5435869097709656, -0.2586592733860016, 0.09454458951950073, 0.6362884640693665, 0.4243462085723877, 0.6204812526702881, -0.8052641749382019, -0.22201548516750336, -0.27872762084007263, 0.20249046385288239, 0.4670524597167969, -0.19487780332565308, -0.3458116352558136, 0.09171152114868164, -0.3287273645401001, -0.17079675197601318, -0.9011030197143555, 0.4742435812950134, 0.29987433552742004, -0.506335973739624, -0.5417371392250061, -0.29879510402679443, -0.16549035906791687, -0.06276359409093857, 0.3316749334335327, 0.29941287636756897, 0.2790725529193878, -0.27728816866874695, 0.044412896037101746, -0.8320570588111877, 0.16959841549396515, 0.2949801981449127, -0.623759388923645, 0.4598999619483948, 0.10018479824066162, -0.3835931718349457, 0.14899177849292755, -0.5002452731132507, -0.2616344690322876, -0.2983165681362152, 0.8944191336631775, 0.23587265610694885, 0.4608282744884491, 0.46409687399864197, -0.3581486940383911, -0.22872191667556763, -0.15040305256843567, -1.1468400955200195, -0.1492142379283905, 0.2541733980178833, -0.5109804272651672, -0.3781101107597351, -0.33607742190361023, -0.9975345730781555]"
Nicola Ravaglia,30,GK,GK,29,31,16,35,10,18,52,"[0.5525717735290527, -0.033729586750268936, -0.16172654926776886, -0.06419133394956589, 0.44825196266174316, -0.13440868258476257, 0.4769868552684784, -0.28333061933517456, -0.22674036026000977, 0.014745034277439117, 0.49674537777900696, 0.30957064032554626, -0.10791067779064178, -0.05158774182200432, 0.4984860420227051, -0.4444815218448639, -0.5373232960700989, 0.19930732250213623, -1.059431791305542, -0.9481999278068542, 0.4711504876613617, 0.3563256859779358, -0.17477430403232574, -0.01960279792547226, -0.49398738145828247, -0.4238973557949066, -0.4803048074245453, -0.6081518530845642, -0.4112708270549774, -0.14960895478725433, -1.6306946277618408, 0.42300283908843994, -0.45558005571365356, 0.39865368604660034, -0.4571683704853058, 0.27419477701187134, -0.021972669288516045, 0.04614105075597763, -0.6611670255661011, 0.14542126655578613, 0.7283674478530884, 0.11373703181743622, 0.5689813494682312, 0.66559898853302, 0.23730114102363586, -0.35319554805755615, -0.6938425898551941, -0.07169871777296066, -0.008389053866267204, 0.03434824198484421, -0.23949629068374634, 0.20986607670783997, -0.6578420996665955, -0.10890068113803864, 0.35124385356903076, -0.7040318846702576, 0.519855260848999, -0.4471704363822937, -0.3988627791404724, 0.0016225703293457627, -1.1426355838775635, 0.02009623497724533, -0.5323246717453003, -1.1519356966018677]"
Tamás Szántó,23,"CAM,CDM,CM",CAM,68,71,67,64,65,79,68,"[0.4738045334815979, -0.6778369545936584, 0.7573549747467041, -0.15772272646427155, 0.18785430490970612, -0.3735355734825134, 0.09679144620895386, 0.0427059605717659, 0.35184431076049805, -0.628246009349823, 0.6189484596252441, 0.26565587520599365, 0.7457739114761353, 0.5741090774536133, -0.28871795535087585, 0.39228036999702454, -0.21843159198760986, 0.23298805952072144, 0.5757505297660828, -0.4875805675983429, -0.0644945576786995, -0.2779098153114319, -0.8644976615905762, -0.5072231888771057, -0.7289591431617737, -0.07255783677101135, -0.22445973753929138, 0.573226273059845, -0.1414017677307129, 0.9498499631881714, -0.0064995866268873215, -0.08488008379936218, -0.17611056566238403, -0.3495313227176666, -0.04545687511563301, 0.152523934841156, -0.5142925381660461, 0.3055812120437622, 0.1699342280626297, 0.006903921719640493, 0.30700480937957764, -0.04095636308193207, 0.15860790014266968, 0.46019983291625977, 0.23386457562446594, 0.10516105592250824, -0.18741194903850555, 0.2584701180458069, -0.7485174536705017, -0.013544595800340176, 0.22530853748321533, -0.12019847333431244, -0.12318269163370132, -0.20201972126960754, -0.21801333129405975, -0.4207415282726288, -0.7062326073646545, -0.1680879294872284, -0.04591592401266098, 0.494474858045578, -0.9053539633750916, 0.014474687166512012, 0.21492134034633636, -0.20012463629245758]"
Danilo Manuel Sacrio Dano,27,ST,ST,85,87,67,52,66,50,64,"[0.34383878111839294, -0.5401149392127991, -0.32854950428009033, -0.2612093389034271, -0.04144084081053734, -0.7294491529464722, -0.13912048935890198, -0.8449692726135254, 0.3638729751110077, -0.8703177571296692, 0.9331286549568176, -0.20553940534591675, -0.36191970109939575, 0.5411787629127502, -0.5514678955078125, 0.42708438634872437, -0.2596663236618042, -0.831354558467865, -0.12358400225639343, -0.4564335346221924, 0.9909669160842896, 0.014913547784090042, -0.5462989807128906, -0.3691709041595459, 0.16886967420578003, 0.5491436123847961, -0.05637146905064583, 0.5105629563331604, -0.5903744101524353, -0.21028131246566772, -0.6829017996788025, 0.26742446422576904, -0.4166717827320099, 0.6333440542221069, -0.23172765970230103, 0.0556192547082901, 0.011402955278754234, 0.2753628194332123, -0.12743636965751648, -0.15284399688243866, 0.06002949923276901, 0.42253029346466064, 0.1813511699438095, 0.6210960149765015, 0.14319580793380737, -0.17770251631736755, 0.29227200150489807, -0.026884306222200394, 0.4077848792076111, 0.1376281976699829, 0.4104028642177582, 0.1760905683040619, -0.3290581703186035, 0.2034805715084076, -0.1514413207769394, 0.0228730458766222, 0.20239795744419098, -0.08502180129289627, -0.37240883708000183, 0.27398547530174255, -0.4813961088657379, 0.8589735627174377, -0.04784875735640526, 0.17537781596183777]"
Higinio Marín Escavy,25,"ST,CAM",ST,61,67,63,65,62,57,65,"[0.021741464734077454, -0.360404372215271, 0.3036917448043823, 0.3058110177516937, -0.08666173368692398, -0.6484344005584717, 0.3585984706878662, 0.45868173241615295, 0.6645419597625732, -0.4774884879589081, 0.7657021284103394, -0.2260439693927765, 0.9003739953041077, 0.5908530950546265, -0.4330872893333435, 0.21307170391082764, 0.01808093674480915, -0.3264141380786896, -0.9274121522903442, 0.06751205772161484, 0.37709957361221313, 0.05536085367202759, -0.6552354693412781, 0.10464532673358917, -0.12197288870811462, 0.7718196511268616, -0.5592511296272278, 0.19305942952632904, -0.41245368123054504, 0.2569064199924469, -0.25299179553985596, -0.06838774681091309, -0.34689274430274963, 0.4608263671398163, 0.014448494650423527, -0.056768544018268585, 0.27877360582351685, -0.03226365149021149, -0.17461618781089783, -0.2969500720500946, 0.5269660353660583, 0.7840696573257446, -0.11656057834625244, 0.7438327074050903, 0.38387978076934814, 0.07633150368928909, -0.4967907965183258, -0.4638087749481201, 0.4588220715522766, 0.31285956501960754, 0.11476536840200424, 0.4173296391963959, 0.13772131502628326, -0.12236355245113373, -0.32223978638648987, -0.34270521998405457, 0.06095745041966438, 0.16417162120342255, -0.29212236404418945, -0.27045685052871704, -0.23091544210910797, 0.5979588627815247, 0.5253032445907593, -0.6947311758995056]"
Joe Rafferty,25,"RB,RWB",RB,75,77,62,59,27,71,70,"[0.9815706610679626, 0.37143126130104065, 0.24354863166809082, -0.3822498023509979, -0.149738147854805, -0.48524072766304016, -0.2173539102077484, -0.026263555511832237, -0.1642473340034485, -0.2740994691848755, 0.8583071231842041, -0.13349084556102753, -0.08514797687530518, -0.6940939426422119, 0.37492242455482483, 0.07897354662418365, -0.771259069442749, -0.09944115579128265, 0.20423643290996552, 0.763556957244873, 0.25894173979759216, 0.09514760971069336, -0.4620509147644043, 0.11813490837812424, -0.4256574213504791, 0.20010028779506683, -0.015529239550232887, 0.4051046669483185, -0.23811544477939606, -0.9974285960197449, -0.36401018500328064, 0.15998409688472748, 0.21044231951236725, 0.020818980410695076, -0.08784616738557816, 0.22146490216255188, 0.0950499027967453, 0.058850545436143875, -0.014534595422446728, 0.18086230754852295, 1.0361697673797607, -0.22795206308364868, -0.4710829555988312, -0.006777510046958923, 0.28384196758270264, -0.24034477770328522, 0.14807239174842834, 0.20653243362903595, -0.2752005457878113, 0.024708090350031853, 0.4973450303077698, -0.49632343649864197, 0.2986890971660614, 0.8999492526054382, 0.38703304529190063, -0.6794583201408386, 0.014250732958316803, -1.0523362159729004, -0.684829592704773, 0.5792420506477356, -0.5840036273002625, 0.28754401206970215, 0.46564996242523193, 0.14593321084976196]"
