full_name,positions,overall_rating,age,acceleration,sprint_speed,dribbling,short_passing,finishing,stamina,strength,embedding
Lukas Grozurek,"LM,ST",65,27,74,78,65,60,63,82,80,"[1.0251386165618896, 0.3027570843696594, 0.2568828761577606, -0.36917784810066223, -0.6998488306999207, 0.1821097731590271, -0.01921694166958332, 0.09280803799629211, -0.5371851325035095, 0.4208579957485199, -0.516693651676178, 1.2358486652374268, 0.11244821548461914, -0.3273842930793762, 0.04711131006479263, -0.6722988486289978, -0.012742598541080952, -0.7666738629341125, 0.3758450448513031, 0.3284877836704254, -0.557995080947876, 1.0837706327438354, 0.0940394252538681, 0.3382875621318817, 0.25996384024620056, -0.22819286584854126, -0.204315185546875, -0.0819176733493805, -0.9922739863395691, 0.20726998150348663, -0.04534703493118286, -0.17395496368408203, 0.3572658896446228, -1.1241127252578735, -0.8839706778526306, 0.36316007375717163, -0.23491106927394867, -0.0767897516489029, -0.693678617477417, -0.06106660142540932, -0.14856158196926117, 0.43447086215019226, 0.0936678871512413, 0.3570379614830017, 0.09751766175031662, 0.5140567421913147, -0.050731658935546875, -0.19248531758785248, 0.17262685298919678, -0.3590216636657715, -0.7848464846611023, -1.3700307607650757, 0.2696555554866791, 0.15316081047058105, 0.31718605756759644, -0.08011795580387115, 0.34859511256217957, 0.05445338785648346, 0.2636854350566864, -0.4031009376049042, -1.0515886545181274, -0.5541138052940369, 0.2632063031196594, 0.1972891390323639]"
gimjinya Jin Zhen Ye,"RM,RB,LB",65,20,81,82,67,56,55,87,53,"[1.0612092018127441, 0.9364870190620422, 0.7034266591072083, 0.5899096727371216, 0.06429832428693771, 0.11257261782884598, 0.8225597143173218, -0.2663155198097229, -0.2352105975151062, 0.21503165364265442, 0.24880310893058777, 0.5311651825904846, 0.058656156063079834, -0.3368648290634155, -0.13762213289737701, -1.152994155883789, -1.191849708557129, -0.05150153115391731, -0.07276088744401932, -0.21300622820854187, -0.10856752097606659, 0.15756191313266754, -0.12639956176280975, -0.5185357928276062, 0.5337222218513489, 0.3552115857601166, -0.2192191183567047, 0.5743795037269592, 0.2840287685394287, -0.09443814307451248, 0.8886612057685852, -0.11674440652132034, -0.2625126540660858, 0.4134633243083954, 0.7496030926704407, 0.5523636937141418, -0.11492478102445602, 0.5665643215179443, -0.5526728630065918, 0.6316164135932922, -0.634796142578125, 1.6881706714630127, 0.2539496123790741, 0.11045283824205399, 0.5752691626548767, -0.03874900937080383, 0.19430778920650482, -0.5964018106460571, 0.6691787838935852, 0.2141025811433792, -0.26778754591941833, -0.43539926409721375, 0.19305118918418884, 0.965705931186676, 0.02877025119960308, -0.5348733067512512, 0.757504940032959, -0.3745322525501251, -0.3518401086330414, 0.40877458453178406, -0.5506018996238708, 0.17378506064414978, -0.34135401248931885, -0.7125873565673828]"
Ibrahim Sehic,GK,65,30,30,35,5,16,7,32,35,"[0.6317722201347351, 0.953687310218811, 0.5506405830383301, 0.05596795678138733, -0.19653186202049255, 0.7646360397338867, 0.9074795246124268, 0.2617255747318268, -0.3748268187046051, -0.1090308129787445, 0.0770721435546875, -0.03156574070453644, -0.23899012804031372, -0.3307020366191864, 0.5012784600257874, -0.5938400030136108, 0.8166193962097168, 0.16879132390022278, 1.041300654411316, -0.34632620215415955, -0.29382383823394775, 0.0005383344832807779, 0.17116087675094604, 0.8146575689315796, 0.32144519686698914, 0.33844709396362305, -0.18576274812221527, 0.40676531195640564, -0.3445146977901459, -0.38172248005867004, 0.09465542435646057, -0.25711867213249207, -0.5464897751808167, -0.4730819761753082, -0.0755474641919136, 0.05929592624306679, 0.16626551747322083, 1.0258046388626099, 0.13487125933170319, -0.1652740240097046, -0.5232186913490295, 0.6418499946594238, 0.6137710213661194, 0.35079655051231384, -0.21023735404014587, -0.04484304040670395, -0.06584308296442032, -0.3414497971534729, 0.9303818941116333, -0.1453534960746765, -0.5114131569862366, -0.24982421100139618, 0.23785771429538727, -0.3674582540988922, 1.2044488191604614, -0.5807536840438843, 1.1566452980041504, -0.4025362432003021, 0.3605382442474365, 0.13727451860904694, -0.6565479040145874, -0.7732482552528381, 0.3200308382511139, -0.6418707370758057]"
Gavin Gunning,"CB,LB",65,28,62,67,50,51,39,70,78,"[2.109377861022949, 0.6871684789657593, 1.4895950555801392, -0.4287511110305786, -0.7083359956741333, 0.6058119535446167, 0.24686194956302643, 0.6829458475112915, -0.31616726517677307, -0.3050771653652191, -0.6013481020927429, -0.07755237072706223, -0.5068886876106262, 0.08181706070899963, 0.10124263167381287, 0.24561478197574615, 0.6169381737709045, -0.4654354751110077, 0.27080193161964417, 0.6399929523468018, -0.410164475440979, -0.08101388812065125, -1.0336956977844238, 0.2563978433609009, -0.04214565083384514, 0.33892515301704407, 0.6401291489601135, 0.24810826778411865, 0.0828755795955658, -0.30990466475486755, 0.09021194279193878, -0.14700037240982056, 0.5008202195167542, 0.09761360287666321, -0.46531611680984497, -0.9064250588417053, 0.3470655381679535, 0.1203039139509201, -0.43651485443115234, 0.06435219198465347, -0.030679212883114815, 0.8470374941825867, 0.05416056513786316, -0.2258843332529068, 0.5117031335830688, -0.18205626308918, 0.5199235677719116, -0.047315094619989395, 0.9781442284584045, 0.528102695941925, -0.83745938539505, -0.4702150821685791, 0.43870487809181213, -0.2170124650001526, 0.38653960824012756, -0.31375813484191895, 0.6455485224723816, -0.5653024315834045, 0.5385801196098328, 0.42235273122787476, 0.05964214354753494, -0.435558557510376, 0.5112404227256775, 0.18765193223953247]"
Kortne Ford,"CB,RB",65,23,64,71,39,50,29,68,84,"[1.6318292617797852, 0.19231772422790527, -0.3318195343017578, -0.6757288575172424, -0.027174223214387894, 0.09103304147720337, 0.14596135914325714, -0.4611377418041229, -0.1837039440870285, 1.3050880432128906, -0.8472521305084229, 0.2933550775051117, 0.6241000294685364, 0.24417579174041748, 0.1971021592617035, -0.7643482685089111, 0.03957364335656166, -0.2034589946269989, 0.42527514696121216, -0.47050780057907104, -0.4635670483112335, -0.31185805797576904, 0.4855025112628937, 0.6305733919143677, -0.02000696398317814, 0.749977171421051, 0.1938454657793045, 0.13491137325763702, 0.44894108176231384, 0.09400477260351181, 0.3906351923942566, -0.2011512815952301, -0.8867976665496826, -0.26789936423301697, 0.16968278586864471, 0.4830187261104584, 0.5829526782035828, 0.21443471312522888, -0.7138231992721558, 0.026663538068532944, -0.374104380607605, 0.918363094329834, 0.061105892062187195, 0.6876382231712341, 0.3044009208679199, -0.11010390520095825, 0.13246284425258636, -1.0175755023956299, 0.09265266358852386, -0.17085959017276764, -0.4478743374347687, -0.6740264296531677, 0.2265448272228241, 0.15904730558395386, 0.7334529757499695, -0.46648555994033813, 0.44272273778915405, -0.6173997521400452, 0.01994628645479679, -0.16180430352687836, -0.22436337172985077, 0.8689051866531372, 0.2710578739643097, -0.10789841413497925]"
Walter Ponce,ST,65,21,68,68,67,54,69,60,69,"[1.4898062944412231, 1.0187994241714478, 0.0000997211245703511, -0.13284805417060852, -0.3489709794521332, 0.8250302672386169, 0.54360431432724, 0.48759108781814575, -1.8455520868301392, 0.8104854226112366, -0.6207970976829529, -0.49577298760414124, -0.8227474093437195, 0.06489130109548569, 0.05269582197070122, -0.3281517028808594, 0.7573287487030029, 0.08957329392433167, 0.22713714838027954, 0.28688883781433105, 0.08551841229200363, 0.044619716703891754, -0.6256825923919678, -0.5687517523765564, 0.8754985332489014, -0.09627573937177658, 0.1701529622077942, -0.1292695850133896, -0.358178973197937, -0.4993119239807129, -0.10065830498933792, 0.0980820283293724, -0.07421405613422394, -0.7505655884742737, 0.5028892159461975, 0.5910111665725708, 0.2632080018520355, 0.11111172288656235, -1.0648324489593506, 0.694410502910614, 0.8007736802101135, 1.0672019720077515, -1.1278927326202393, 0.34703895449638367, 0.36229759454727173, 0.2468510866165161, 0.7514683604240417, 0.0677686557173729, 1.3493157625198364, -0.3182910084724426, 0.46452057361602783, 0.13602018356323242, 1.0778801441192627, 0.1413874328136444, 0.39006274938583374, 0.18704864382743835, 0.3787456452846527, 0.0478762648999691, 0.5669439435005188, 0.511225163936615, 0.41749271750450134, -0.7667406797409058, -0.16198119521141052, 0.0038203424774110317]"
Patricio Felipe Jerez Aguayo,"RB,RM",65,31,60,60,55,62,21,82,70,"[1.3351551294326782, -0.19096726179122925, 0.32176610827445984, 0.018342841416597366, -0.641766369342804, 0.28248363733291626, 0.04262104257941246, -0.7285128831863403, -0.9469094276428223, 0.5056396126747131, -0.35357609391212463, -0.6628159880638123, -0.7130323648452759, 0.028184110298752785, 0.6364660263061523, -0.49726539850234985, 0.16107989847660065, -0.6695764660835266, 0.4306989014148712, 0.16146127879619598, -0.231401264667511, 0.44779321551322937, 0.11318129301071167, 0.4295600950717926, 0.8809462785720825, 0.2480928599834442, -0.7606777548789978, -0.35457342863082886, -0.7056506872177124, 0.5968140959739685, 0.2233247607946396, -0.5232141017913818, -0.29433566331863403, -0.695758581161499, 0.20457173883914948, 0.08020058274269104, 0.21970483660697937, 0.5263432264328003, -1.7585484981536865, 0.18680046498775482, 0.09016966074705124, 0.42414581775665283, -0.25953733921051025, 0.21719707548618317, 0.7175366878509521, -0.2991572618484497, 0.22787000238895416, -0.27885231375694275, 0.015075345523655415, 0.18433670699596405, 0.613278865814209, 0.11570853739976883, -0.134866401553154, 0.3523426353931427, 0.10132819414138794, -0.6388224959373474, 0.6938377618789673, -0.18566776812076569, -0.3639155328273773, 0.40414300560951233, 0.21393120288848877, -0.31090596318244934, 0.06819690763950348, 0.0579071119427681]"
Jon Guthrie,CB,65,26,64,63,52,55,28,82,80,"[0.9213947653770447, 0.7993436455726624, -0.2384406179189682, -0.07902013510465622, -0.5165445804595947, 0.07497432082891464, -0.003148067509755492, 0.5028254985809326, 0.47150763869285583, 1.0063320398330688, -0.6872052550315857, 0.11910030990839005, -0.38273850083351135, 0.281450092792511, 0.4392838776111603, -0.32196903228759766, -0.07390528917312622, -0.08564046770334244, 0.4333358407020569, 1.3524436950683594, -0.03649924695491791, -0.12146326899528503, -0.5230588316917419, 0.3476603031158447, 0.4657518267631531, -0.27310076355934143, 0.03706377372145653, 0.839133083820343, -0.0588102750480175, 0.6213761568069458, 0.910740852355957, -0.317756712436676, -0.8908118605613708, -0.7199772000312805, -0.09521638602018356, 0.6403017044067383, -0.1923290640115738, 0.3881293535232544, -0.42110729217529297, -0.2192896157503128, 0.11812249571084976, 0.6300649046897888, 0.04416343942284584, 0.7958293557167053, 0.38863492012023926, 0.25962549448013306, 0.11988403648138046, -0.34339889883995056, 0.1967266947031021, -0.13946343958377838, -0.12224124372005463, -0.399997740983963, -0.2949846088886261, -0.09425641596317291, 0.10859056562185287, -0.8544210195541382, 0.5209919810295105, 0.10855754464864731, 0.3395562469959259, 0.5669884085655212, -0.5573808550834656, 0.1490519642829895, -0.016187438741326332, -0.15315289795398712]"
Kane Hemmings,"ST,RM",65,26,75,71,63,57,61,76,75,"[1.611809253692627, 1.1706783771514893, -0.08910609036684036, 0.9597746729850769, -1.1012119054794312, 0.08864353597164154, 0.5354310274124146, -0.0582156777381897, 0.4961121380329132, 0.8191723823547363, -0.6415266394615173, 0.11229530721902847, -0.2944810092449188, -0.08186768740415573, 0.20973998308181763, 0.5110057592391968, -0.2048599123954773, 0.498300701379776, 0.6725948452949524, 0.8337740302085876, 0.21883197128772736, 0.6624928116798401, 0.13615146279335022, 0.27841535210609436, 0.6629188656806946, -0.229111909866333, -0.759427011013031, -0.2842918932437897, -0.43112578988075256, 0.4247781038284302, 0.21372772753238678, -0.426517128944397, -0.6715757250785828, -0.6740738153457642, 0.5691041350364685, 1.003246545791626, 0.5660309195518494, 0.4228959083557129, -0.48716503381729126, 0.8109309077262878, 0.3848116099834442, 0.5019093155860901, -0.15522316098213196, 0.7802009582519531, 0.16136732697486877, -0.6467045545578003, 0.19171011447906494, 0.3254806399345398, 0.8846760988235474, 0.40636181831359863, 0.9434104561805725, -0.43248236179351807, -0.05415404960513115, 0.36391201615333557, -1.0425052642822266, -0.3825361430644989, 0.14119143784046173, -0.5895230174064636, 0.006331702694296837, 0.03385339304804802, -0.5406420230865479, -0.22220589220523834, 0.3540486991405487, -0.08319976180791855]"
Henrique de Andrade Silva,"LW,RW,ST",65,33,76,73,66,63,67,59,29,"[1.1979894638061523, 1.1315797567367554, 0.4701142907142639, -0.6247841119766235, -0.49458035826683044, -0.5735216736793518, -0.10129441320896149, 0.3638960123062134, -0.7299087643623352, -0.5078327059745789, -0.32182103395462036, 1.184971570968628, -0.13402406871318817, 0.4591177999973297, -0.08213762193918228, 0.251444011926651, 0.09381362795829773, -0.8938230872154236, 0.3808673024177551, -0.19637435674667358, -0.4383973181247711, 0.6730761528015137, -0.3565797209739685, 0.5211266279220581, 1.1792798042297363, -0.2105029821395874, 0.28719863295555115, -0.3025011122226715, -1.0065767765045166, -0.03130890429019928, 0.4090190827846527, 0.12291150540113449, -0.33028560876846313, -0.09702080488204956, -0.10108904540538788, 1.0105953216552734, -0.3397117853164673, -0.41837984323501587, 0.15217362344264984, 0.8371559977531433, -0.10419168323278427, 0.4681970179080963, -0.25175806879997253, 1.1928176879882812, 0.316518634557724, -0.03647281229496002, -0.07700257003307343, -0.04538184404373169, 1.2208585739135742, 0.16377270221710205, 0.4492259919643402, -0.021352767944335938, 0.5806240439414978, -0.5153504610061646, -0.29173845052719116, -0.11044687032699585, 0.36208903789520264, -0.8538045883178711, 0.7227957248687744, 0.8898599147796631, -0.21149711310863495, 0.292457640171051, -0.38830751180648804, 0.5512325167655945]"
Philip Haglund,"CM,CDM,CAM",65,31,47,53,57,67,61,78,79,"[2.3880093097686768, 0.005687689874321222, 0.7164166569709778, -0.23097866773605347, -0.8360759615898132, 0.5185679793357849, -0.3050100803375244, 0.08074571192264557, -0.5278946757316589, 0.6213680505752563, -0.2389436662197113, 0.5585915446281433, -0.4368685483932495, -0.05353633314371109, -0.15511853992938995, -0.3537527620792389, 0.018766021355986595, -0.6489396691322327, 0.49440470337867737, -0.37287482619285583, 0.0504155308008194, 0.16633611917495728, -0.6371074318885803, 1.1094861030578613, 0.11538728326559067, 0.2166067212820053, 0.6446211934089661, -0.1194613054394722, 0.3012782037258148, 0.4012083411216736, 0.27149662375450134, -0.42887383699417114, 0.18567205965518951, -0.4180337190628052, 0.1981639266014099, 1.0472394227981567, 0.7908952832221985, 0.6664870977401733, -0.27948886156082153, -0.8348045349121094, -0.24398687481880188, 0.41138362884521484, 0.3143174946308136, 0.45711034536361694, -0.006202248856425285, -0.3703177869319916, 0.5336318016052246, 0.18516592681407928, 0.07117430865764618, -0.9875403642654419, -0.3807101249694824, -0.16687390208244324, 0.4286353290081024, 0.3968360424041748, 0.16495218873023987, 0.2101045399904251, 0.2304983288049698, 0.37577858567237854, 0.627155601978302, -0.21413306891918182, -0.3802458643913269, -0.3296010196208954, -0.30451419949531555, 0.13543705642223358]"
Francisco Feuillassier,"LW,RW",65,20,68,68,70,62,72,62,61,"[1.6901131868362427, 0.5997800827026367, 0.44628578424453735, 0.11195104569196701, 0.11454273015260696, -0.23170512914657593, 0.6170815825462341, -0.32432228326797485, -0.5224319100379944, 0.8581091165542603, -0.12574025988578796, -0.059213005006313324, -0.7571456432342529, -0.46152162551879883, 0.08175012469291687, 0.3446349501609802, -0.3267557621002197, -0.22763051092624664, 0.6711270809173584, -0.19191540777683258, -0.19341431558132172, 0.440055251121521, -0.017691252753138542, 1.1881073713302612, 0.8593440055847168, -0.23527579009532928, -0.3404938578605652, 0.3744325041770935, 0.19679094851016998, -0.15028806030750275, 0.482105553150177, 0.8616657853126526, -0.4510790705680847, -0.2737853527069092, 1.035764455795288, 0.7072285413742065, -0.6320203542709351, -0.20594899356365204, -0.1640588492155075, 0.7204942107200623, 0.7694511413574219, 0.7754557728767395, 0.04739019274711609, 1.2043991088867188, 0.21192049980163574, -0.23677653074264526, 0.7106147408485413, 0.7923734188079834, 0.821282148361206, 0.45732712745666504, 0.6093088984489441, -0.24618640542030334, 0.1787387877702713, 0.1724638044834137, 0.36946311593055725, -0.29575926065444946, -0.46859776973724365, -0.407082200050354, 0.49888741970062256, 0.31400689482688904, 0.1636059582233429, 0.3904099464416504, -0.43776121735572815, 0.41353410482406616]"
Jorge Luis Deschamps,GK,65,34,41,48,7,25,20,25,55,"[1.9511644840240479, 1.7201972007751465, 1.129673957824707, 0.09510016441345215, 0.8327335119247437, 0.3368918001651764, -0.3179048001766205, 0.4022977948188782, -0.7907075881958008, 0.7006173729896545, -0.5854150652885437, 0.5455869436264038, 0.23324516415596008, 0.5422148704528809, -0.07631674408912659, -0.32260552048683167, 0.07940163463354111, -0.46501266956329346, 0.5443598628044128, -0.7436259984970093, -1.0463180541992188, -0.12643344700336456, 0.5091995596885681, 0.3910215198993683, 0.4469781219959259, 0.1974097639322281, 0.3309487998485565, -0.012365812435746193, -0.2355475276708603, -0.2361350804567337, 0.10268214344978333, -0.1516868770122528, 0.35982686281204224, -0.9061499238014221, 0.3312426209449768, 0.5114664435386658, 0.07000921666622162, 0.4361025393009186, -0.38756826519966125, 0.02159920707345009, -1.268117904663086, 0.8787569403648376, -1.157532811164856, 1.0003238916397095, 0.04411572590470314, 0.6163374185562134, 0.6175243258476257, 0.08528508991003036, 0.011980883777141571, -0.15360231697559357, -0.23422744870185852, 0.5887939929962158, 0.6050077676773071, 1.090383768081665, 0.10143283754587173, -0.17715412378311157, 1.0536948442459106, 0.0452752560377121, 0.410879909992218, 0.6694942116737366, -0.6169935464859009, -0.5815551280975342, -0.7739061117172241, -0.20240792632102966]"
Yannick MBone,CB,65,25,52,51,57,62,49,83,75,"[1.3363173007965088, 0.3478553295135498, 0.20262457430362701, -0.32449519634246826, -1.2441517114639282, 0.15445829927921295, 0.566178560256958, 0.25382357835769653, -0.4022705852985382, -0.4129115343093872, -0.2854345440864563, -0.4637710452079773, 0.41147738695144653, 0.155574232339859, 1.0129250288009644, -0.6734568476676941, -0.7074881792068481, 0.020660076290369034, 0.2685222327709198, 0.4381853938102722, 0.35482409596443176, -0.4183826744556427, -0.5345122218132019, 0.7514665722846985, 0.3220336139202118, 0.1594323068857193, 0.19350098073482513, -0.07782306522130966, 0.5278705358505249, -0.2090003937482834, 0.2185565084218979, -0.4113433361053467, -0.2699679732322693, -0.17635324597358704, -0.3084132671356201, -0.011217430233955383, 0.2986961007118225, -0.21943561732769012, -0.6172654628753662, 0.3704230785369873, 1.2147157192230225, 0.7661947011947632, -0.10733184963464737, 0.012558056972920895, -0.20952482521533966, -0.2501741945743561, 0.5532312989234924, -0.29528725147247314, 0.8833955526351929, 0.6641921401023865, -0.7580490708351135, -0.6725789308547974, 1.2860267162322998, -0.48010021448135376, 0.1300530582666397, -0.03924543038010597, 1.0795727968215942, 0.12904812395572662, 0.6454225182533264, 0.5123727321624756, 0.25209563970565796, -0.49357256293296814, 0.6427030563354492, -0.4290485382080078]"
Omar Santana Cabrera,"CAM,CM",65,27,69,69,67,63,57,63,52,"[1.071645736694336, 0.7024489045143127, 1.1561356782913208, -0.06915467232465744, -0.3585474491119385, 0.20518626272678375, 0.4739786982536316, 0.368338018655777, 0.7312087416648865, -0.2998962998390198, -0.11211716383695602, 0.46625590324401855, -0.21228450536727905, -0.49523547291755676, 0.07320863753557205, 0.19286204874515533, 0.3403792977333069, 0.0697636678814888, 0.45396196842193604, -0.6760818362236023, 0.3684152066707611, 0.332119882106781, -0.06868161261081696, 1.0923858880996704, 0.10032416135072708, -0.771286129951477, 0.020590003579854965, -0.40761083364486694, -0.11835408955812454, 0.6661385893821716, 0.44686707854270935, -0.058263424783945084, -1.1100088357925415, -0.43473905324935913, -0.8849185109138489, 0.7759832143783569, -0.1612759679555893, 0.0578933022916317, -0.47965335845947266, -0.059805095195770264, -0.2050938904285431, 0.7105068564414978, -0.15171334147453308, 1.0017659664154053, 1.0702744722366333, -0.8947955369949341, 0.535552442073822, -0.34635376930236816, 0.2597203552722931, 0.18120041489601135, -0.22466062009334564, -0.1942177414894104, -0.11432037502527237, -0.5542610883712769, 1.3400189876556396, 0.5168510675430298, 1.0920721292495728, -0.6821348071098328, 1.090859293937683, -0.36996904015541077, -0.33087438344955444, -0.9322603940963745, 0.2126893252134323, 0.07308848202228546]"
Sebastian Gomez Londono,"CM,CDM",65,22,64,60,63,72,51,79,65,"[0.6964209079742432, 0.9539770483970642, 0.588908851146698, 0.526459276676178, 0.15048275887966156, -0.564362645149231, 0.20229072868824005, 0.06778689473867416, -0.831841766834259, 0.32491791248321533, -0.6332589387893677, 0.5339314937591553, -0.15172342956066132, -0.5409418344497681, -0.7747989296913147, -0.7373729944229126, 0.5640252232551575, -0.3714280426502228, 1.4089655876159668, 0.3079182207584381, -0.6788536906242371, 1.426750659942627, 0.12825416028499603, 0.13104310631752014, 0.43050017952919006, 0.05906965211033821, 0.041059479117393494, 0.22955158352851868, -0.5773851275444031, 0.011397535912692547, 1.0167714357376099, -0.9482924938201904, -0.9679334759712219, -0.11434871703386307, 0.24456559121608734, 0.24327488243579865, 0.7644965648651123, 0.8024675250053406, -0.15279345214366913, 0.2623162567615509, -0.4069438874721527, 0.3093720078468323, -0.42243561148643494, 0.5453763604164124, 0.21691906452178955, -0.16399647295475006, 0.7017929553985596, -0.43313199281692505, 0.9675819277763367, 1.1348435878753662, -0.7087736129760742, -0.432682067155838, 2.213731050491333, 0.16282151639461517, -0.4789826571941376, -0.21483385562896729, 0.7015848755836487, -0.7126001119613647, 0.03145105019211769, 0.055357106029987335, 0.09714019298553467, -0.5858015418052673, 0.2774391770362854, -0.06625624746084213]"
Jorge Lozano,CB,65,28,48,52,38,32,29,47,87,"[0.7901497483253479, 0.4211750030517578, 0.4501819908618927, -0.11936897039413452, 0.28159594535827637, 0.5190069079399109, -0.3652292490005493, 1.0456279516220093, -0.28065845370292664, 0.9798744320869446, -0.2180672287940979, 0.6625511646270752, -0.3649437129497528, -0.418683260679245, -0.4747437536716461, -0.5230522155761719, 0.5667192339897156, 0.40725207328796387, 0.9098983407020569, 0.16135293245315552, -0.3744577169418335, 0.31495559215545654, -0.5211355090141296, 0.44809964299201965, -0.05430072173476219, 0.2903238832950592, 0.5799809098243713, 0.3730877637863159, -0.2276938110589981, -0.047720085829496384, 0.5730928778648376, -0.05597732961177826, -0.22209450602531433, -1.021930456161499, -0.08177818357944489, 0.2267834097146988, 0.1562017947435379, 0.25463902950286865, -0.7576260566711426, 0.09060904383659363, 0.14864444732666016, 0.35084232687950134, -0.6101159453392029, 0.5743557810783386, 0.5831540822982788, -0.685173511505127, 0.3609275221824646, -0.10615210980176926, 0.7183172702789307, 0.9836662411689758, -0.1425747275352478, -0.44221392273902893, 0.31076183915138245, -0.01857740804553032, -0.5058008432388306, -0.5763787627220154, 0.3414052426815033, 0.17337879538536072, 0.03627622872591019, -0.5556054711341858, -0.3915400803089142, 0.42721909284591675, -0.027647368609905243, 0.40904614329338074]"
Luke Amos,"CM,CDM",65,22,58,63,61,70,44,68,61,"[0.5647771954536438, 0.6681005358695984, 0.1861966997385025, 0.14806213974952698, -0.8698241114616394, 0.9514128565788269, 0.19150814414024353, 0.16601422429084778, -0.45729726552963257, 0.5089379549026489, -0.3403106927871704, -0.2409130036830902, 0.7156881093978882, 0.34919634461402893, 0.33596789836883545, -0.04110229015350342, 0.4089183211326599, -0.34370899200439453, 0.09450943768024445, 0.3553321361541748, -0.2720373868942261, 0.33446189761161804, -0.10196670144796371, 0.22904276847839355, 0.7735744118690491, 0.5231379866600037, 0.23833754658699036, -0.2190682590007782, -0.08354935050010681, 0.046040602028369904, 0.43484431505203247, 0.032791703939437866, -0.1960572898387909, -0.7468806505203247, -0.37587475776672363, 0.4157954752445221, 0.6466564536094666, 0.15369684994220734, 0.07380688935518265, 0.6439142227172852, 0.22191056609153748, 0.08149164915084839, -0.24735696613788605, 1.0148661136627197, 0.18418987095355988, -0.17687061429023743, 0.9117105603218079, -0.6649779677391052, 0.6737032532691956, 0.08492143452167511, 0.23475103080272675, -0.3952159881591797, 0.7483536601066589, 0.6811246871948242, 0.36167609691619873, -0.2851202189922333, 0.3985407054424286, 0.11826656758785248, 0.15934787690639496, 0.5970906615257263, -0.11093534529209137, -0.3446505665779114, 0.23926718533039093, 0.34569698572158813]"
Michael Langer,GK,65,34,31,32,11,29,14,32,83,"[0.992739200592041, 0.8455733060836792, 0.6445114612579346, -0.5413976907730103, -0.14104892313480377, 0.5214524269104004, 0.15762904286384583, 0.6272379755973816, 0.40265437960624695, 0.4901788830757141, -1.6389470100402832, 0.7335071563720703, 0.5430561304092407, 1.2081916332244873, 0.5673220157623291, 0.09243962913751602, 0.20938390493392944, -0.8051512241363525, 0.08021734654903412, 0.45511841773986816, 0.5103528499603271, 0.6215524077415466, -0.1208767220377922, 0.8302133083343506, 0.8662839531898499, 0.6631434559822083, 0.2876044809818268, 0.07964853197336197, -0.1607714295387268, -0.5790544748306274, 0.868392825126648, -0.15997745096683502, -0.9223684668540955, -0.6634659171104431, 1.3733309507369995, 1.4268113374710083, 0.9261795282363892, 0.2524434030056, -0.45931416749954224, 0.2702038586139679, 0.5169693827629089, 1.4686870574951172, -0.8637853860855103, 0.4626423120498657, 0.642509400844574, -0.04097839072346687, 0.147830531001091, -0.6103832125663757, -0.2013102024793625, 0.6258253455162048, -0.24519412219524384, -0.08287401497364044, 0.8302891254425049, -0.40602976083755493, -0.6529526114463806, -1.0896815061569214, 0.21996790170669556, 0.836229681968689, 0.2775976061820984, 0.060182005167007446, 0.04171672835946083, 0.35236769914627075, 0.15872247517108917, 0.2741556465625763]"
Enis Hajri,"RB,CDM,CB,LB",65,36,63,55,62,62,52,70,78,"[1.9785960912704468, 0.7809427380561829, 0.8472760915756226, -0.3878674805164337, -1.1035265922546387, 0.9911510348320007, 0.5901312828063965, 0.45348885655403137, 0.125655397772789, -0.05091351270675659, -0.09727014601230621, 0.00860510766506195, -0.369441419839859, 0.9011895656585693, -0.09927559643983841, 0.07932642102241516, 0.45654162764549255, -0.12383446097373962, 0.34266993403434753, 0.7281506657600403, -0.5902817845344543, -0.3628235459327698, -0.8676398992538452, 0.339430034160614, 0.4959234297275543, 0.004736750386655331, 0.5185613036155701, 0.6710143089294434, -0.16017335653305054, -0.23251335322856903, -0.23458991944789886, 0.2373027205467224, -0.17426635324954987, -0.31342610716819763, -0.13753724098205566, -0.5441449880599976, 0.1097945123910904, 0.08689431101083755, -0.8137683272361755, 0.250945508480072, 0.4175090491771698, 0.6003802418708801, 0.5474928021430969, 0.6338657736778259, 0.14019767940044403, 0.5096129775047302, 0.7746622562408447, 0.10698194801807404, -0.050991617143154144, 0.4907054901123047, -0.020494384691119194, 0.26680272817611694, 0.2887348234653473, -0.3003334701061249, 0.08697354048490524, 0.4174157977104187, -0.2011948674917221, -0.29994919896125793, 0.19639086723327637, -0.1866861879825592, -0.13130229711532593, 0.09298425912857056, 1.0882503986358643, -0.10573447495698929]"
